Proposed,TotalAccepted,GoodMove,BoltzmannMove,Rejected,F(Q),Enthalpy,χ²
6500000,4195462,2367220,1828242,2304538,24.781858,-3.672865,-1837390.909000
6600000,4205229,2372159,1833070,2394771,24.741919,-3.673060,-1837506.377000
6700000,4228590,2384190,1844400,2471410,24.731999,-3.673674,-1837803.949000
6800000,4296724,2419093,1877631,2503276,24.683587,-3.675124,-1838540.821000
6900000,4365101,2454095,1911006,2534899,24.617559,-3.676676,-1839326.860000
7000000,4433191,2488829,1944362,2566809,24.529795,-3.678078,-1840046.298000
7100000,4501423,2523919,1977504,2598577,24.568801,-3.679900,-1840950.482000
7200000,4569661,2558658,2011003,2630339,24.242316,-3.681058,-1841583.372000
7300000,4638035,2593255,2044780,2661965,24.438579,-3.682114,-1842080.976000
7400000,4706517,2628080,2078437,2693483,24.342407,-3.683583,-1842831.349000
7500000,4774078,2662529,2111549,2725922,24.203642,-3.684888,-1843508.340000
7600000,4842646,2697711,2144935,2757354,23.792054,-3.686309,-1844285.081000
7700000,4911060,2732470,2178590,2788940,24.364836,-3.687427,-1844756.032000
7800000,4979466,2767362,2212104,2820534,24.271298,-3.688720,-1845418.856000
7900000,5047918,2802256,2245662,2852082,24.145164,-3.690292,-1846226.542000
8000000,5116354,2837071,2279283,2883646,23.835992,-3.691077,-1846668.469000
8100000,5184817,2871836,2312981,2915183,24.055935,-3.691945,-1847069.069000
8200000,5253711,2906927,2346784,2946289,23.631017,-3.693262,-1847796.005000
8300000,5322300,2941804,2380496,2977700,23.335540,-3.694353,-1848389.123000
8400000,5391202,2976945,2414257,3008798,23.464142,-3.695487,-1848937.231000
8500000,5459601,3011811,2447790,3040399,23.896142,-3.696858,-1849559.209000
8600000,5528402,3046820,2481582,3071598,24.085850,-3.698046,-1850123.089000
8700000,5597235,3081787,2515448,3102765,23.297098,-3.698636,-1850542.286000
8800000,5666061,3116675,2549386,3133939,22.989118,-3.699446,-1850996.539000
8900000,5734504,3151371,2583133,3165496,23.291872,-3.700610,-1851532.444000
9000000,5803200,3186120,2617080,3196800,23.337578,-3.701596,-1852023.309000
9100000,5872227,3221025,2651202,3227773,23.713253,-3.702537,-1852432.636000
9200000,5940658,3255951,2684707,3259342,22.927836,-3.703551,-1853063.771000
9300000,6009380,3290727,2718653,3290620,22.767429,-3.704263,-1853445.960000
9400000,6078271,3325794,2752477,3321729,24.270058,-3.705517,-1853980.269000
9500000,6146823,3360404,2786419,3353177,23.548565,-3.706226,-1854308.058000
9600000,6215434,3395223,2820211,3384566,23.097079,-3.706859,-1854695.967000
9700000,6284392,3430138,2854254,3415608,22.826624,-3.707748,-1855183.931000
9800000,6353004,3464838,2888166,3446996,22.487414,-3.708434,-1855580.889000
9900000,6421660,3499834,2921826,3478340,22.697097,-3.709320,-1855991.905000
10000000,6490717,3534873,2955844,3509283,22.599642,-3.710026,-1856361.007000
10100000,6559433,3569545,2989888,3540567,23.179475,-3.710792,-1856654.626000
10200000,6628138,3604294,3023844,3571862,22.509389,-3.711514,-1857121.468000
10300000,6696866,3638955,3057911,3603134,22.252279,-3.712181,-1857495.967000
10400000,6765679,3673972,3091707,3634321,22.252461,-3.712987,-1857899.792000
10500000,6834370,3708759,3125611,3665630,22.979990,-3.713924,-1858255.826000
10600000,6903262,3743512,3159750,3696738,22.536715,-3.714589,-1858658.654000
10700000,6972402,3778496,3193906,3727598,22.134508,-3.715135,-1858995.724000
10800000,7041500,3813265,3228235,3758500,22.310600,-3.715778,-1859290.995000
10900000,7110320,3848140,3262180,3789680,22.388642,-3.716478,-1859628.204000
11000000,7179137,3882939,3296198,3820863,22.537661,-3.717242,-1859988.285000
11100000,7248218,3917732,3330486,3851782,22.125061,-3.717594,-1860229.147000
11200000,7316844,3952733,3364111,3883156,22.204126,-3.718530,-1860685.932000
11300000,7386129,3987749,3398380,3913871,22.634035,-3.719258,-1860983.872000
11400000,7455109,4022732,3432377,3944891,22.428668,-3.719849,-1861312.517000
11500000,7524231,4057894,3466337,3975769,22.014591,-3.720437,-1861671.904000
11600000,7593127,4092914,3500213,4006873,21.611150,-3.720863,-1861947.819000
11700000,7662316,4127854,3534462,4037684,21.743485,-3.721287,-1862140.419000
11800000,7731368,4162662,3568706,4068632,22.103618,-3.721779,-1862332.065000
11900000,7800425,4197732,3602693,4099575,21.735936,-3.722490,-1862744.376000
12000000,7869683,4232861,3636822,4130317,22.060905,-3.723146,-1863022.653000
12100000,7938840,4267740,3671100,4161160,21.751429,-3.723496,-1863245.782000
12200000,8008316,4302775,3705541,4191684,22.251522,-3.724216,-1863529.068000
12300000,8077685,4337853,3739832,4222315,21.976841,-3.724618,-1863773.681000
12400000,8146868,4372807,3774061,4253132,22.000498,-3.725275,-1864099.716000
12500000,8215637,4407455,3808182,4284363,21.811926,-3.725503,-1864242.945000
12600000,8284695,4442413,3842282,4315305,22.003779,-3.726101,-1864512.909000
12700000,8353667,4477065,3876602,4346333,21.657300,-3.726348,-1864692.715000
12800000,8423116,4512284,3910832,4376884,21.567245,-3.726654,-1864860.309000
12900000,8492458,4547215,3945243,4407542,21.480583,-3.727045,-1865068.127000
13000000,8561728,4582311,3979417,4438272,21.685681,-3.727827,-1865428.876000
13100000,8630962,4617316,4013646,4469038,21.802743,-3.728388,-1865691.014000
13200000,8700350,4652200,4048150,4499650,21.497949,-3.728456,-1865772.333000
13300000,8769679,4687385,4082294,4530321,21.309583,-3.729089,-1866119.141000
13400000,8838717,4722202,4116515,4561283,21.643752,-3.729548,-1866297.283000
13500000,8908018,4757160,4150858,4591982,21.520774,-3.729841,-1866463.388000
13600000,8977203,4792255,4184948,4622797,21.593338,-3.730830,-1866947.583000
13700000,9046324,4826879,4219445,4653676,21.563355,-3.731007,-1867041.603000
13800000,9115691,4861904,4253787,4684309,21.590260,-3.731578,-1867323.400000
13900000,9184800,4896734,4288066,4715200,21.773777,-3.732265,-1867638.975000
14000000,9254355,4931703,4322652,4745645,21.420626,-3.732129,-1867626.062000
14100000,9323731,4966644,4357087,4776269,21.466968,-3.732531,-1867820.475000
14200000,9393099,5001699,4391400,4806901,21.644142,-3.733180,-1868118.082000
14300000,9462520,5036770,4425750,4837480,21.085496,-3.733492,-1868361.369000
14400000,9532048,5071689,4460359,4867952,21.172571,-3.733484,-1868344.202000
14500000,9601463,5106765,4494698,4898537,21.502200,-3.734108,-1868605.317000
14600000,9671126,5141920,4529206,4928874,21.462557,-3.734854,-1868985.624000
14700000,9740575,5176843,4563732,4959425,21.430803,-3.734870,-1868998.305000
14800000,9810249,5211989,4598260,4989751,21.411626,-3.735360,-1869248.880000
14900000,9879623,5246983,4632640,5020377,21.115275,-3.735576,-1869401.804000
15000000,9948986,5281933,4667053,5051014,21.200614,-3.735856,-1869528.612000
15100000,10018637,5317094,4701543,5081363,20.987907,-3.736232,-1869750.463000
15200000,10087831,5351895,4735936,5112169,21.314772,-3.736633,-1869900.540000
15300000,10157306,5386690,4770616,5142694,21.058208,-3.736777,-1870012.912000
15400000,10227001,5421674,4805327,5172999,20.903996,-3.737478,-1870387.976000
15500000,10296519,5456730,4839789,5203481,21.181781,-3.738077,-1870643.474000
15600000,10365962,5491783,4874179,5234038,20.841615,-3.738075,-1870697.163000
15700000,10435445,5526840,4908605,5264555,21.137384,-3.738304,-1870765.917000
15800000,10504892,5561788,4943104,5295108,21.126653,-3.738561,-1870896.389000
15900000,10574453,5596836,4977617,5325547,21.473205,-3.739158,-1871141.574000
16000000,10642897,5631215,5011682,5357103,21.070158,-3.739410,-1871330.694000
16100000,10712653,5666365,5046288,5387347,20.734889,-3.739613,-1871484.819000
16200000,10782141,5701277,5080864,5417859,20.919674,-3.739903,-1871601.680000
16300000,10851641,5736238,5115403,5448359,21.267115,-3.740279,-1871735.875000
16400000,10921104,5771415,5149689,5478896,20.582670,-3.740558,-1871982.275000
16500000,10990683,5806315,5184368,5509317,20.985513,-3.741055,-1872168.645000
16600000,11060291,5841588,5218703,5539709,20.722883,-3.741569,-1872467.183000
16700000,11129818,5876388,5253430,5570182,20.918299,-3.741601,-1872452.797000
16800000,11199358,5911442,5287916,5600642,20.668658,-3.741975,-1872679.624000
16900000,11268490,5946162,5322328,5631510,20.845528,-3.742161,-1872745.016000
17000000,11337869,5981122,5356747,5662131,20.409692,-3.742531,-1872998.741000
17100000,11407441,6016319,5391122,5692559,20.665237,-3.742806,-1873097.161000
17200000,11476947,6051428,5425519,5723053,20.517412,-3.743032,-1873233.003000
17300000,11546859,6086492,5460367,5753141,20.897263,-3.743459,-1873387.699000
17400000,11616247,6121465,5494782,5783753,20.772466,-3.743607,-1873481.434000
17500000,11685650,6156472,5529178,5814350,20.889359,-3.744091,-1873705.785000
17600000,11755238,6191436,5563802,5844762,20.975375,-3.744518,-1873906.869000
17700000,11824980,6226599,5598381,5875020,20.610334,-3.744802,-1874105.879000
17800000,11894721,6261485,5633236,5905279,20.648956,-3.744731,-1874064.122000
17900000,11964550,6296479,5668071,5935450,20.938252,-3.745206,-1874257.185000
18000000,12034198,6331574,5702624,5965802,20.779302,-3.745601,-1874479.904000
18100000,12103915,6366510,5737405,5996085,20.643458,-3.745646,-1874523.821000
18200000,12173275,6401208,5772067,6026725,20.742216,-3.745973,-1874672.081000
18300000,12242902,6436189,5806713,6057098,20.763644,-3.746210,-1874787.417000
18400000,12312319,6471088,5841231,6087681,21.106923,-3.746365,-1874811.741000
18500000,12382044,6506195,5875849,6117956,20.515765,-3.746808,-1875125.903000
18600000,12451245,6541031,5910214,6148755,20.759220,-3.747222,-1875295.745000
18700000,12520935,6575965,5944970,6179065,20.382079,-3.747230,-1875358.523000
18800000,12590278,6610858,5979420,6209722,20.671045,-3.747505,-1875451.264000
18900000,12659644,6645561,6014083,6240356,20.327869,-3.747577,-1875540.847000
19000000,12729012,6680280,6048732,6270988,20.952761,-3.747620,-1875464.784000
19100000,12798847,6715477,6083370,6301153,20.100921,-3.747980,-1875778.297000
19200000,12868710,6750502,6118208,6331290,20.219757,-3.748501,-1876021.105000
19300000,12938492,6785599,6152893,6361508,20.632258,-3.749086,-1876249.766000
19400000,13008332,6820890,6187442,6391668,20.259463,-3.749081,-1876305.538000
19500000,13077934,6855971,6221963,6422066,20.430637,-3.749360,-1876418.858000
19600000,13147637,6890937,6256700,6452363,20.680588,-3.749631,-1876515.709000
19700000,13217471,6926072,6291399,6482529,20.500999,-3.749851,-1876654.167000
19800000,13287272,6961023,6326249,6512728,20.740842,-3.749813,-1876597.674000
19900000,13357081,6996276,6360805,6542919,20.312888,-3.750257,-1876884.564000
20000000,13426955,7031406,6395549,6573045,20.402911,-3.750119,-1876803.562000
20100000,13496826,7066427,6430399,6603174,20.254044,-3.750303,-1876919.367000
20200000,13566493,7101459,6465034,6633507,20.531712,-3.750530,-1876989.766000
20300000,13636302,7136660,6499642,6663698,20.230112,-3.750887,-1877215.718000
20400000,13706264,7171618,6534646,6693736,20.192567,-3.751207,-1877382.161000
20500000,13776331,7206748,6569583,6723669,19.961128,-3.751249,-1877439.169000
20600000,13845882,7241690,6604192,6754118,19.789491,-3.751485,-1877584.560000
20700000,13915533,7276816,6638717,6784467,20.213761,-3.752292,-1877922.393000
20800000,13985348,7311886,6673462,6814652,20.216576,-3.752117,-1877834.388000
20900000,14055091,7347017,6708074,6844909,20.282249,-3.752142,-1877836.712000
21000000,14125125,7382279,6742846,6874875,20.160367,-3.752715,-1878142.771000
21100000,14194947,7417410,6777537,6905053,19.953970,-3.752999,-1878317.455000
21200000,14264861,7452520,6812341,6935139,19.994259,-3.753141,-1878382.646000
21300000,14334546,7487595,6846951,6965454,19.811253,-3.753333,-1878507.163000
21400000,14404655,7522732,6881923,6995345,19.848938,-3.753432,-1878551.195000
21500000,14474628,7557995,6916633,7025372,19.938246,-3.753773,-1878708.281000
21600000,14544376,7592934,6951442,7055624,19.993754,-3.753882,-1878754.199000
21700000,14614318,7628098,6986220,7085682,20.177880,-3.754035,-1878802.391000
21800000,14684357,7663507,7020850,7115643,19.991806,-3.754341,-1878984.632000
21900000,14754071,7698451,7055620,7145929,20.048653,-3.754610,-1879110.599000
22000000,14823953,7733441,7090512,7176047,20.219021,-3.754778,-1879167.875000
22100000,14893775,7768562,7125213,7206225,20.014823,-3.754915,-1879268.463000
22200000,14963746,7803622,7160124,7236254,20.087847,-3.755066,-1879332.363000
22300000,15033491,7838853,7194638,7266509,19.899704,-3.755225,-1879441.914000
22400000,15103310,7873960,7229350,7296690,20.004416,-3.755163,-1879394.699000
22500000,15173092,7909280,7263812,7326908,20.089795,-3.755665,-1879632.607000
22600000,15243014,7944424,7298590,7356986,20.193094,-3.755746,-1879657.245000
22700000,15313018,7979559,7333459,7386982,20.301167,-3.756006,-1879771.021000
22800000,15382720,8014663,7368057,7417280,19.766644,-3.756007,-1879854.696000
22900000,15452620,8049811,7402809,7447380,20.009713,-3.756381,-1880004.445000
23000000,15522496,8084848,7437648,7477504,21.225928,-3.756792,-1880171.311000
23100000,15591884,8119692,7472192,7508116,20.011926,-3.756789,-1880209.305000
23200000,15661955,8154824,7507131,7538045,19.999095,-3.756865,-1880248.486000
23300000,15732027,8190000,7542027,7567973,19.731081,-3.757167,-1880441.926000
23400000,15801774,8224881,7576893,7598226,20.009908,-3.757231,-1880430.440000
23500000,15871824,8260179,7611645,7628176,20.108254,-3.757480,-1880539.984000
23600000,15941445,8295124,7646321,7658555,19.950385,-3.757594,-1880621.557000
23700000,16011124,8330061,7681063,7688876,19.956210,-3.757485,-1880564.829000
23800000,16080851,8365224,7715627,7719149,19.743585,-3.758050,-1880882.750000
23900000,16150842,8400246,7750596,7749158,19.966074,-3.757961,-1880802.957000
24000000,16220498,8435216,7785282,7779502,20.074235,-3.758202,-1880907.081000
24100000,16290269,8470116,7820153,7809731,20.000370,-3.758083,-1880858.762000
24200000,16360271,8505266,7855005,7839729,19.436859,-3.758262,-1881037.103000
24300000,16430193,8540541,7889652,7869807,19.888898,-3.758829,-1881250.639000
24400000,16500061,8575681,7924380,7899939,19.734843,-3.758907,-1881313.625000
24500000,16570179,8611026,7959153,7929821,19.946329,-3.759318,-1881485.906000
24600000,16640468,8646128,7994340,7959532,19.990031,-3.759129,-1881385.130000
24700000,16710448,8681149,8029299,7989552,19.462313,-3.759376,-1881591.103000
24800000,16780508,8716415,8064093,8019492,19.803675,-3.759509,-1881604.486000
24900000,16850413,8751413,8099000,8049587,19.688199,-3.759392,-1881563.769000
25000000,16920214,8786134,8134080,8079786,19.996476,-3.759408,-1881523.717000
25100000,16989548,8821043,8168505,8110452,19.672000,-3.759539,-1881640.313000
25200000,17059443,8856067,8203376,8140557,19.931962,-3.759989,-1881825.929000
25300000,17129391,8891137,8238254,8170609,19.645570,-3.759941,-1881846.842000
25400000,17199309,8926258,8273051,8200691,19.952868,-3.760209,-1881932.356000
25500000,17268880,8961182,8307698,8231120,19.374062,-3.760416,-1882126.625000
25600000,17338742,8996275,8342467,8261258,19.619052,-3.760344,-1882052.075000
25700000,17408860,9031661,8377199,8291140,19.777158,-3.760806,-1882258.899000
25800000,17478823,9066606,8412217,8321177,19.275102,-3.760858,-1882363.652000
25900000,17548853,9101739,8447114,8351147,20.028541,-3.761133,-1882383.538000
26000000,17618873,9137025,8481848,8381127,19.360889,-3.761176,-1882509.416000
26100000,17688919,9172162,8516757,8411081,19.520884,-3.761741,-1882767.963000
26200000,17759287,9207345,8551942,8440713,19.757018,-3.761672,-1882696.102000
26300000,17829261,9242580,8586681,8470739,19.769469,-3.761749,-1882732.669000
26400000,17899463,9277710,8621753,8500537,19.659182,-3.761507,-1882628.885000
26500000,17969420,9312916,8656504,8530580,19.362591,-3.761661,-1882752.178000
26600000,18039440,9348071,8691369,8560560,19.439854,-3.762187,-1883003.854000
26700000,18109499,9383250,8726249,8590501,19.366166,-3.762278,-1883061.071000
26800000,18179684,9418593,8761091,8620316,19.514002,-3.762688,-1883243.627000
26900000,18249188,9453663,8795525,8650812,19.689032,-3.762761,-1883252.984000
27000000,18319440,9488825,8830615,8680560,19.701439,-3.762967,-1883354.314000
27100000,18389556,9524150,8865406,8710444,19.298001,-3.763013,-1883441.198000
27200000,18459677,9559245,8900432,8740323,19.661698,-3.763218,-1883486.170000
27300000,18530019,9594642,8935377,8769981,19.405641,-3.763203,-1883518.881000
27400000,18600085,9629804,8970281,8799915,19.300952,-3.763103,-1883484.952000
27500000,18670142,9664972,9005170,8829858,19.696193,-3.763421,-1883582.652000
27600000,18740267,9700149,9040118,8859733,19.515836,-3.763449,-1883624.833000
27700000,18810461,9735277,9075184,8889539,19.329647,-3.763497,-1883677.806000
27800000,18880773,9770770,9110003,8919227,19.156206,-3.763433,-1883673.094000
27900000,18950876,9805871,9145005,8949124,19.561137,-3.763590,-1883688.396000
28000000,19020998,9840962,9180036,8979002,19.653357,-3.763607,-1883684.649000
28100000,19090988,9876075,9214913,9009012,19.423137,-3.763804,-1883817.390000
28200000,19161141,9911400,9249741,9038859,19.723715,-3.763991,-1883864.397000
28300000,19231351,9946689,9284662,9068649,19.179931,-3.764092,-1883999.521000
28400000,19301675,9982077,9319598,9098325,19.572402,-3.764244,-1884014.278000
28500000,19371625,10017280,9354345,9128375,19.327153,-3.764318,-1884089.959000
28600000,19441477,10052477,9389000,9158523,19.343975,-3.764305,-1884080.834000
28700000,19511700,10087634,9424066,9188300,19.214727,-3.764486,-1884191.733000
28800000,19581800,10122893,9458907,9218200,19.419207,-3.764816,-1884324.949000
28900000,19652027,10158098,9493929,9247973,19.322573,-3.764934,-1884399.308000
29000000,19722148,10193179,9528969,9277852,18.937526,-3.765220,-1884603.031000
29100000,19792026,10228199,9563827,9307974,19.193575,-3.765378,-1884642.372000
29200000,19862278,10263564,9598714,9337722,19.217197,-3.765423,-1884661.688000
29300000,19932489,10298753,9633736,9367511,19.284745,-3.765350,-1884613.657000
29400000,20002668,10334068,9668600,9397332,19.208601,-3.765882,-1884892.443000
29500000,20072906,10369422,9703484,9427094,19.367162,-3.765911,-1884882.332000
29600000,20143270,10404783,9738487,9456730,19.096967,-3.765913,-1884925.320000
29700000,20213429,10439913,9773516,9486571,19.319278,-3.766150,-1885009.475000
29800000,20283545,10475012,9808533,9516455,19.283830,-3.766208,-1885043.907000
29900000,20353795,10510399,9843396,9546205,19.155872,-3.766385,-1885153.080000
30000000,20424086,10545607,9878479,9575914,19.168692,-3.766433,-1885175.020000
30100000,20494278,10580769,9913509,9605722,19.191593,-3.766640,-1885275.241000
30200000,20564542,10615780,9948762,9635458,19.450549,-3.766722,-1885275.941000
30300000,20634453,10650736,9983717,9665547,19.257322,-3.766844,-1885367.136000
30400000,20704840,10686176,10018664,9695160,19.120642,-3.766859,-1885396.182000
30500000,20774973,10721213,10053760,9725027,19.235419,-3.766857,-1885377.038000
30600000,20845339,10756371,10088968,9754661,19.536439,-3.766867,-1885335.074000
30700000,20915226,10791475,10123751,9784774,19.167878,-3.767048,-1885483.552000
30800000,20985386,10826517,10158869,9814614,19.081275,-3.766886,-1885415.816000
30900000,21055552,10861625,10193927,9844448,19.208008,-3.767033,-1885469.483000
31000000,21125745,10897022,10228723,9874255,19.381651,-3.767197,-1885524.878000
31100000,21196022,10932246,10263776,9903978,19.084939,-3.767438,-1885692.534000
31200000,21266227,10967424,10298803,9933773,19.294981,-3.767420,-1885650.056000
31300000,21336261,11002692,10333569,9963739,19.164088,-3.767515,-1885718.203000
31400000,21406587,11037794,10368793,9993413,18.687299,-3.767631,-1885849.823000
31500000,21476823,11073045,10403778,10023177,19.126999,-3.767740,-1885838.448000
31600000,21546835,11108119,10438716,10053165,19.397362,-3.768153,-1886002.356000
31700000,21616921,11143423,10473498,10083079,18.958785,-3.768194,-1886090.469000
31800000,21687317,11178723,10508594,10112683,19.283075,-3.768423,-1886154.589000
31900000,21757410,11213707,10543703,10142590,18.980398,-3.768117,-1886048.445000
32000000,21827666,11248842,10578824,10172334,19.755345,-3.768546,-1886142.782000
32100000,21897979,11284032,10613947,10202021,19.140825,-3.768639,-1886285.356000
32200000,21968206,11319302,10648904,10231794,18.886033,-3.768580,-1886295.649000
32300000,22038414,11354377,10684037,10261586,18.880789,-3.768779,-1886397.339000
32400000,22108416,11389197,10719219,10291584,18.773473,-3.768358,-1886201.668000
32500000,22178825,11424673,10754152,10321175,18.811104,-3.768656,-1886345.123000
32600000,22248974,11459870,10789104,10351026,18.819027,-3.768734,-1886383.276000
32700000,22319270,11495148,10824122,10380730,19.086465,-3.768759,-1886353.601000
32800000,22389053,11530268,10858785,10410947,19.394120,-3.768712,-1886281.185000
32900000,22459482,11565620,10893862,10440518,18.979183,-3.768754,-1886367.906000
33000000,22529775,11600862,10928913,10470225,19.075568,-3.769202,-1886577.717000
33100000,22599994,11636073,10963921,10500006,18.538584,-3.769328,-1886724.905000
33200000,22670158,11671247,10998911,10529842,19.151811,-3.769731,-1886831.108000
33300000,22740374,11706540,11033834,10559626,19.087912,-3.769604,-1886777.201000
33400000,22810682,11741720,11068962,10589318,19.042173,-3.769592,-1886778.535000
33500000,22880795,11776833,11103962,10619205,19.439490,-3.769638,-1886739.099000
33600000,22951064,11812061,11139003,10648936,19.191055,-3.769964,-1886941.502000
33700000,23021192,11847224,11173968,10678808,19.164366,-3.769683,-1886804.987000
33800000,23091459,11882627,11208832,10708541,19.093913,-3.770031,-1886990.376000
33900000,23161610,11917868,11243742,10738390,19.148304,-3.770257,-1887096.161000
34000000,23231604,11952969,11278635,10768396,18.932300,-3.770089,-1887045.029000
34100000,23301844,11988191,11313653,10798156,19.244617,-3.770343,-1887123.451000
34200000,23372194,12023412,11348782,10827806,19.310388,-3.770409,-1887146.065000
34300000,23442353,12058661,11383692,10857647,19.001918,-3.770730,-1887354.954000
34400000,23512588,12093850,11418738,10887412,18.849657,-3.770590,-1887308.651000
34500000,23582675,12128871,11453804,10917325,19.162587,-3.770565,-1887247.175000
34600000,23652931,12164072,11488859,10947069,19.256395,-3.770506,-1887203.242000
34700000,23723349,12199387,11523962,10976651,19.021631,-3.770281,-1887127.084000
34800000,23793570,12234420,11559150,11006430,19.005113,-3.770401,-1887189.658000
34900000,23863636,12269466,11594170,11036364,19.166678,-3.770886,-1887407.399000
35000000,23933944,12304545,11629399,11066056,18.678919,-3.770799,-1887440.206000
35100000,24004141,12339628,11664513,11095859,18.944414,-3.770850,-1887424.201000
35200000,24074537,12374969,11699568,11125463,18.843852,-3.771137,-1887583.849000
35300000,24144708,12410054,11734654,11155292,19.315293,-3.771021,-1887452.354000
35400000,24215168,12445177,11769991,11184832,19.167242,-3.771024,-1887476.526000
35500000,24285355,12480467,11804888,11214645,18.959931,-3.771437,-1887715.900000
35600000,24355499,12515485,11840014,11244501,19.158897,-3.771213,-1887573.925000
35700000,24425614,12550827,11874787,11274386,19.262594,-3.771613,-1887756.905000
35800000,24495731,12586054,11909677,11304269,19.048023,-3.771720,-1887844.417000
